,Period,ratio,count
0,2016-01-01,100.0,575877.11676258
1,2016-02-01,99.5617,573353.0473598096
2,2016-03-01,68.47665,394341.35767560324
3,2016-04-01,77.8194,448144.1170019392
4,2016-05-01,75.06415,432277.26274233824
5,2016-06-01,70.79548,407694.96902222896
6,2016-07-01,74.87122,431166.2230209681
7,2016-08-01,76.2142,438900.1375236663
8,2016-09-01,70.06874,403509.83966386865
9,2016-10-01,71.39672,411157.3725990523
10,2016-11-01,68.40547,393931.4483438916
11,2016-12-01,87.20148,502173.3687982979
12,2017-01-01,86.19191,496359.4861905979
13,2017-02-01,68.96739,397167.4170384039
14,2017-03-01,61.47333,354010.8403819461
15,2017-04-01,62.20944,358249.92942614714
16,2017-05-01,66.66354,383900.07208386925
17,2017-06-01,65.63898,377999.8654963666
18,2017-07-01,73.7399,424651.2100236098
19,2017-08-01,76.92783,443009.7693920191
20,2017-09-01,66.45376,382691.9970683247
21,2017-10-01,77.87746,448478.47125593154
22,2017-11-01,71.95864,414393.34129356465
23,2017-12-01,82.39337,474484.5635595246
24,2018-01-01,81.17027,467441.0105444015
25,2018-02-01,75.97257,437508.6456464329
26,2018-03-01,64.79049,373113.60574834776
27,2018-04-01,65.14075,375130.6729375203
28,2018-05-01,73.37466,422547.87644234614
29,2018-06-01,78.28953,450851.4880909751
30,2018-07-01,78.28204,450808.35489492957
31,2018-08-01,81.33323,468379.45989387773
32,2018-09-01,78.48807,451994.83451859554
33,2018-10-01,74.72138,430303.3287492111
34,2018-11-01,72.33137,416539.80807087384
